Hotel_ID,Hotel_Name,Hotel_Group,Class,Total_Rooms,Year,Month,Month_Name,Occupied_Rooms,Occupancy_Rate,Avg_Room_Rate_AED,Room_Revenue_AED,Guest_Arrivals,Avg_Length_of_Stay,Source_Region,Source_Country,RevPAR,ADR,Total_Available_Rooms
DXBH-5S-001,Navarro PLC Hotel,Luxury,5 star,206,2020,1,January,138,0.671622029,828.25,3428972.01,1018,4.1,GCC,Oman,556.2709455,828.25,6180
DXBH-5S-001,Navarro PLC Hotel,Luxury,5 star,206,2020,2,February,132,0.640616228,776.41,3074597.04,1211,3.3,South Asia,India,497.3808453,776.41,6180
DXBH-5S-001,Navarro PLC Hotel,Luxury,5 star,206,2020,3,March,69,0.332751679,750.85,1554255.55,714,2.9,Western Europe,UK,249.8465985,750.85,6180
DXBH-5S-001,Navarro PLC Hotel,Luxury,5 star,206,2020,4,April,69,0.333804528,713.96,1477900.06,484,4.3,South Asia,Other,238.323081,713.96,6180
DXBH-5S-001,Navarro PLC Hotel,Luxury,5 star,206,2020,5,May,62,0.302221263,636.37,1183653.75,566,3.3,Russia & CIS,Russia,192.3245449,636.37,6180
DXBH-5S-001,Navarro PLC Hotel,Luxury,5 star,206,2020,6,June,77,0.372872106,722.05,1667933.24,515,4.5,South Asia,India,269.232304,722.05,6180
DXBH-5S-001,Navarro PLC Hotel,Luxury,5 star,206,2020,7,July,76,0.371147018,763.89,1741674.46,703,3.2,South Asia,India,283.5154959,763.89,6180
DXBH-5S-001,Navarro PLC Hotel,Luxury,5 star,206,2020,8,August,73,0.352723146,748.37,1638929.95,619,3.5,South Asia,India,263.9674206,748.37,6180
DXBH-5S-001,Navarro PLC Hotel,Luxury,5 star,206,2020,9,September,68,0.329388267,666.69,1360054.68,919,2.2,Russia & CIS,Russia,219.599864,666.69,6180
DXBH-5S-001,Navarro PLC Hotel,Luxury,5 star,206,2020,10,October,66,0.322260917,641.08,1269332.83,525,3.8,South Asia,Pakistan,206.595029,641.08,6180
DXBH-5S-001,Navarro PLC Hotel,Luxury,5 star,206,2020,11,November,74,0.358250801,685.96,1522833.75,666,3.3,GCC,Kuwait,245.7457196,685.96,6180
DXBH-5S-001,Navarro PLC Hotel,Luxury,5 star,206,2020,12,December,83,0.401388942,853.24,2124569.06,1193,2.1,Western Europe,UK,342.4811012,853.24,6180
DXBH-5S-001,Navarro PLC Hotel,Luxury,5 star,206,2021,1,January,175,0.848484631,972.72,5106755.55,1466,3.6,South Asia,Other,825.3379698,972.72,6180
DXBH-5S-001,Navarro PLC Hotel,Luxury,5 star,206,2021,2,February,170,0.827147549,2226.646806,4587165.99,1367,3.7,Russia & CIS,Kazakhstan,1841.765448,2226.646806,6180
DXBH-5S-001,Navarro PLC Hotel,Luxury,5 star,206,2021,3,March,152,0.739198556,877.99,4003648.53,1301,3.5,GCC,Saudi Arabia,649.0089403,877.99,6180
DXBH-5S-001,Navarro PLC Hotel,Luxury,5 star,206,2021,4,April,121,0.585631495,829.13,3009733.29,1022,3.6,Russia & CIS,Kazakhstan,485.5646418,829.13,6180
DXBH-5S-001,Navarro PLC Hotel,Luxury,5 star,206,2021,5,May,119,0.576517844,747.05,2666976.37,906,3.9,Russia & CIS,Russia,430.6876551,747.05,6180
DXBH-5S-001,Navarro PLC Hotel,Luxury,5 star,206,2021,6,June,133,0.647063177,860.81,3434613.68,1300,3.1,Russia & CIS,Russia,556.9984537,860.81,6180
DXBH-5S-001,Navarro PLC Hotel,Luxury,5 star,206,2021,7,July,149,0.721285422,895.02,4000760.92,1071,4.2,South Asia,India,645.5648783,895.02,6180
DXBH-5S-001,Navarro PLC Hotel,Luxury,5 star,206,2021,8,August,143,0.693238635,858.23,3681795.74,1288,3.3,Western Europe,UK,594.9581934,858.23,6180
DXBH-5S-001,Navarro PLC Hotel,Luxury,5 star,206,2021,9,September,126,0.609932524,771.81,2917449.66,1317,2.9,Western Europe,UK,470.7520217,771.81,6180
DXBH-5S-001,Navarro PLC Hotel,Luxury,5 star,206,2021,10,October,160,0.776841307,763.96,3667016.26,1540,3.1,Western Europe,Germany,593.4756848,763.96,6180
DXBH-5S-001,Navarro PLC Hotel,Luxury,5 star,206,2021,11,November,187,0.907787363,855.87,4801454.74,1737,3.2,Russia & CIS,Russia,776.9479706,855.87,6180
DXBH-5S-001,Navarro PLC Hotel,Luxury,5 star,206,2021,12,December,204,0.99,1033.08,6322421.44,1565,3.9,Western Europe,Germany,1022.7492,1033.08,6180
DXBH-5S-001,Navarro PLC Hotel,Luxury,5 star,206,2022,1,January,160,0.777565426,1148.63,5513434.81,1414,3.4,GCC,Kuwait,893.1349757,1148.63,6180
